Date,Indx,HC,RE,IT,Ind,Mat,CD,CS,Fin,Util,Eng,Com,Portfolio
2016-11-16,62698.26,63172.69,60189.84,61336.92,65272.73,61775.42,61890.55,58188.12,63538.41,57720.77,62930.5,59678.72,738392.9299999999
2016-11-17,63002.91,63694.04,60028.25,61777.74,64623.51,61993.7,62291.72,58393.36,63887.76,57759.32,62128.91,59963.58,739544.7999999999
2016-11-18,63008.57,63604.74,60243.17,62056.16,64651.54,61985.71,62164.96,58297.85,64210.76,57670.48,62457.28,59846.64,740197.86
2016-11-21,63407.78,63747.25,60235.21,62728.77,64932.99,62526.04,62447.55,58499.05,64395.83,58277.94,63510.29,60106.91,744815.61
2016-11-22,63800.4,62859.26,61065.78,62937.42,65225.37,63205.81,63071.24,58520.4,64859.18,58711.93,63536.69,60277.49,748070.97
2016-11-23,63954.36,63354.75,60945.92,62908.96,65406.06,63067.33,63212.64,58309.35,65089.87,58158.32,63717.64,60111.21,748236.4099999999
2016-11-25,64178.9,63808.01,61237.19,63241.92,65600.32,63323.17,63513.19,58648.76,65289.9,58795.94,63386.65,60361.72,751385.67
2016-11-28,63814.85,62887.18,61354.09,62835.91,65147.4,63121.94,63023.56,58569.13,64908.35,59417.46,62416.52,60000.47,747496.86
2016-11-29,63849.25,62803.34,61698.13,62607.55,65145.75,63081.73,63002.99,58651.5,65111.28,59444.84,61767.86,60560.2,747724.4199999999
2016-11-30,63664.0,61739.75,61208.05,62119.19,65350.43,63282.26,62578.05,58163.63,65314.6,58408.89,64441.51,59831.89,746102.25
2016-12-01,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,62175.19,746102.2799999998
2016-12-02,62210.85,62487.47,62604.89,62244.89,62045.61,62480.26,62011.54,62302.78,62016.54,62344.49,62330.82,62129.11,747209.25
2016-12-05,62784.1,63198.12,62989.9,63073.71,62657.44,63141.05,62766.1,62740.81,62650.25,62613.97,63104.81,62642.73,754362.99
2016-12-06,63151.97,63975.19,63411.13,63417.0,63032.91,63495.29,63288.63,62905.99,63246.56,62738.44,63173.52,62884.01,758720.6399999999
2016-12-07,63942.72,63455.32,64284.86,64081.99,63784.76,64579.41,64131.6,63210.08,63873.2,63256.48,63666.16,63410.22,765676.8
2016-12-08,64394.61,64047.12,64775.35,64716.33,64144.66,65140.32,64655.19,63272.69,64555.09,63511.79,64304.09,64267.44,771784.6800000002
2016-12-09,64573.83,64274.55,64818.51,64787.73,64247.29,64994.38,64723.13,63788.92,64787.22,63934.48,64465.96,64037.66,773433.66
2016-12-12,64291.92,63998.08,64857.41,64136.89,63909.68,64514.81,64061.34,63760.47,64440.37,64198.98,64722.99,63491.69,770384.6299999999
2016-12-13,64553.11,64104.33,64942.24,64418.21,63897.65,64375.65,64225.51,64235.46,64565.97,64604.47,65230.64,64115.35,773268.59
2016-12-14,63941.8,63514.84,63867.23,63873.62,63223.72,63662.28,63653.44,63632.57,64249.84,63694.88,63833.16,63854.92,765002.3
2016-12-15,64228.17,63752.16,63605.07,64170.54,63484.97,63640.56,63513.14,63695.97,64561.02,64565.26,64108.14,63819.16,767144.1600000001
2016-12-16,64116.43,63679.86,64295.88,63799.58,63270.96,63333.31,63450.58,63567.42,64452.0,64769.72,64271.48,63676.48,766683.7
2016-12-19,64333.94,63535.87,64741.34,64195.82,63408.4,63229.44,63563.54,63706.42,64619.5,65036.09,64334.13,63931.32,768635.8099999999
2016-12-20,64644.45,63737.85,64853.6,64349.04,63735.82,63522.09,63907.62,64038.09,65086.63,65082.91,64589.93,64452.2,772000.23
2016-12-21,64481.41,63114.61,64376.53,64159.74,63568.74,63555.31,63782.04,63978.93,64981.83,65079.86,64822.88,64790.79,770692.6699999999
2016-12-22,64150.1,62704.25,64201.58,63707.21,63293.43,63145.4,63053.04,63796.68,64904.62,65126.11,64982.31,65492.48,768557.21
2016-12-23,64289.23,63714.66,64384.5,64027.32,63412.72,63262.04,63128.59,63843.35,65038.53,65261.45,64943.85,66364.18,771670.4199999999
2016-12-27,64526.95,63756.76,64506.89,64326.06,63547.73,63751.1,63357.52,63826.8,65209.26,65421.4,65313.87,66156.37,773700.71
2016-12-28,63943.26,63243.38,64159.83,63658.92,63043.92,63460.67,63379.7,63849.02,65003.21,64949.01,64987.67,65490.43,769169.0200000001
2016-12-29,63967.88,63181.8,64599.81,63721.7,63124.42,63875.35,63532.23,64149.34,64990.0,65563.05,64968.92,65789.85,771464.35
2016-12-30,63688.1,63154.0,65140.65,63343.11,62965.72,63449.46,63406.14,64143.63,65079.36,65594.37,65046.79,65813.04,770824.3700000001
2017-01-03,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,64235.36,770824.32
2017-01-04,64974.15,65510.73,65075.38,65110.69,64797.15,65045.48,65024.52,64491.87,64780.67,64723.79,64685.4,64892.03,779111.8600000001
2017-01-05,64652.4,65747.98,65037.83,65044.49,64531.82,65472.58,64603.09,64497.63,64445.84,64694.42,64917.52,65038.4,778684.0000000001
2017-01-06,64697.51,65971.96,64996.53,65109.11,64375.33,64939.16,64339.48,64333.5,64498.62,64591.57,64772.12,65209.43,777834.32
