TICKER,Sector,Industry
KODK,Information Technology,Computers Electronics
TCS,Consumer Discretionary,Specialty Stores
FMOCY,Industrials,Construction & Engineering
EMYSF,Health Care,Health Crare Equipment & Technology
OPVS,Information Technology,Semiconductors
SCOO,Consumer Discretionary,Hotels Leisure & Consumer Services
SAFLY,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
VDMCY,Communication Services,Wireless Telecommunication Services
SEGSY,Industrials,Transportation Air Freight & Marine
WIX,Information Technology,Internet Software & IT Services
KPTI,Health Care,Biotechnology Life Sciences
LGIH,Consumer Discretionary,Homebuilding
BCRHF,Financials,Insurance Brokers & Reinsurance
TWTR,Information Technology,Internet Software & IT Services
AVHOQ,Industrials,Airlines
GLYC,Health Care,Biotechnology Life Sciences
NMIH,Financials,Banks
SPUP,Consumer Staples,Food Products
WTER,Consumer Staples,Beverages Tobacco
UPCHY,Consumer Staples,Food Products
YEWB,Consumer Staples,Food Products
DLNG,Energy,Coal & Consumable Fuels 
CHGG,Consumer Discretionary,Hotels Leisure & Consumer Services
HMHC,Consumer Discretionary,Hotels Leisure & Consumer Services
EIGR,Health Care,Biotechnology Life Sciences
TNDM,Health Care,Health Crare Equipment & Technology
XNCR,Health Care,Biotechnology Life Sciences
BHR,Real Estate,Real Estate
TRVN,Health Care,Biotechnology Life Sciences
KIKOY,Consumer Staples,Food Products
SMCAY,Industrials,Industrial Machinery
ACTL,Communication Services,Media
TLOG,Health Care,Biotechnology Life Sciences
IMUX,Health Care,Biotechnology Life Sciences
PULM,Health Care,Pharmaceuticals
BTCM,Consumer Discretionary,Hotels Leisure & Consumer Services
VNCE,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
NVGS,Energy,Coal & Consumable Fuels 
BRRE,Real Estate,Real Estate
IPWR,Industrials,Electrical Equipment
PTPF,Financials,Diversified Financials
ICLD,Information Technology,Internet Software & IT Services
NHLE,Consumer Staples,Beverages Tobacco
JMSB,Financials,Banks
ALLE,Industrials,Building Products
VEND,Industrials,Trading Companies & Distributors
BPCGY,Financials,Banks
ARTR,Industrials,Commercial & Professional Services
GTMEY,Communication Services,Wireless Telecommunication Services
WLYW,Information Technology,Internet Software & IT Services
PCSA,Health Care,Pharmaceuticals
XREG,Energy,Oil & Gas Exploration & Production 
ATHM,Information Technology,Internet Software & IT Services
KIN,Health Care,Biotechnology Life Sciences
ARMK,Consumer Discretionary,Restaurants
CTT,Real Estate,Real Estate
NETI,Industrials,Transportation Air Freight & Marine
GASE,Energy,Oil & Gas Exploration & Production 
HLT,Consumer Discretionary,Hotels Leisure & Consumer Services
ITTOY,Information Technology,Internet Software & IT Services
AMC,Communication Services,Media
CPTA,Financials,Diversified Financials
FRBA,Financials,Banks
BLJZY,Consumer Staples,Food & Stapes Retailing
ITCI,Health Care,Pharmaceuticals
GENH,Real Estate,Real Estate
TKCI,Information Technology,Internet Software & IT Services
DGJI,Health Care,Household & Personal Products
BDGY,Information Technology,Software
CANN,Industrials,Commercial & Professional Services
CLPBY,Health Care,Health Crare Equipment & Technology
CELP,Industrials,Oil & Gas Equipment & Services 
ETST,Health Care,Pharmaceuticals
SC,Financials,Diversified Financials
RTSL,Health Care,Health Crare Equipment & Technology
ZSHGY,Consumer Discretionary,Specialty Retail
CESX,Industrials,Commercial & Professional Services
APSI,Industrials,Commercial & Professional Services
EGDW,Financials,Banks
OGS,Utilities,Gas Utilities
AEXE,Materials,Precious Metals Gold Mining 
ESI,Materials,Specialty Chemicals 
XBIO,Health Care,Biotechnology Life Sciences
EPGNY,Health Care,Biotechnology Life Sciences
SINC,Materials,Chemicals
CBAY,Health Care,Pharmaceuticals
HUTN,Information Technology,Internet Software & IT Services
MBUU,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
NWHM,Consumer Discretionary,Homebuilding
RARE,Health Care,Biotechnology Life Sciences
DRNA,Health Care,Biotechnology Life Sciences
CARA,Health Care,Pharmaceuticals
CBDG,Industrials,Commercial & Professional Services
PBLOF,Financials,Banks
EUSHY,Consumer Staples,Food & Stapes Retailing
BIOC,Health Care,Biotechnology Life Sciences
GNCA,Health Care,Biotechnology Life Sciences
QURE,Health Care,Biotechnology Life Sciences
SESN,Health Care,Biotechnology Life Sciences
RVNC,Health Care,Pharmaceuticals
GCI,Communication Services,Media
HKSHY,Consumer Discretionary,Hotels Leisure & Consumer Services
OERLY,Industrials,Industrial Machinery
KBEVF,Consumer Staples,Household & Personal Products
ICMB,Financials,Diversified Financials
LADR,Financials,Diversified Financials
GPRK,Energy,Oil & Gas Exploration & Production 
FVPI,Health Care,Pharmaceuticals
HEPA,Health Care,Pharmaceuticals
FLXN,Health Care,Biotechnology Life Sciences
SINT,Health Care,Health Crare Equipment & Technology
YOKEY,Information Technology,Computers Electronics
SNNC,Consumer Staples,Household & Personal Products
EGRX,Health Care,Biotechnology Life Sciences
IBP,Consumer Discretionary,Homebuilding
GRLB,Consumer Staples,Household & Personal Products
INGN,Health Care,Health Crare Equipment & Technology
SMLR,Health Care,Health Crare Equipment & Technology
CNCE,Health Care,Biotechnology Life Sciences
LNGLY,Energy,Coal & Consumable Fuels 
KN,Information Technology,Computers Electronics
RTON,Consumer Discretionary,Specialty Stores
BVNRY,Health Care,Biotechnology Life Sciences
AKTX,Health Care,Pharmaceuticals
TGLS,Materials,Building Products
CURM,Information Technology,Internet Software & IT Services
BTCS,Information Technology,Computers Electronics
WHSI,Information Technology,Communications Equipment
HCCA,Health Care,Managed Health Care
VRNS,Information Technology,Software
RCHA,Health Care,Biotechnology Life Sciences
BQST,Communication Services,Media
XXII,Consumer Staples,Beverages Tobacco
JGSMY,Industrials,Industrial Conglomerates
TPVG,Financials,Diversified Financials
REPH,Health Care,Pharmaceuticals
NLTX,Health Care,Biotechnology Life Sciences
QUOT,Consumer Discretionary,Internet & Catalog Retail
MJNE,Health Care,Pharmaceuticals
NNCHY,Materials,Chemicals
ENLC,Energy,Coal & Consumable Fuels 
MBUMY,Industrials,Electrical Equipment
PLXP,Health Care,Pharmaceuticals
CSLT,Health Care,Health Crare Equipment & Technology
GLMD,Health Care,Biotechnology Life Sciences
PSTO,Industrials,Construction & Engineering
GRST,Health Care,Health Care Providers (non-HMO)
PCTY,Information Technology,Software
BPOL,Industrials,Aerospace & Defense 
SNYR,Consumer Staples,Household & Personal Products
AMRK,Financials,Diversified Financials
MDWD,Health Care,Pharmaceuticals
QTWO,Information Technology,Software
AKBA,Health Care,Biotechnology Life Sciences
ARAV,Health Care,Biotechnology Life Sciences
ATEN,Information Technology,Software
TSLX,Financials,Diversified Financials
LE,Consumer Discretionary,Internet & Catalog Retail
VICA,Health Care,Health Care Providers (non-HMO)
MDNL,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
FGF,Financials,Insurance Brokers & Reinsurance
LPCN,Health Care,Pharmaceuticals
AGTC,Health Care,Biotechnology Life Sciences
TNET,Industrials,Commercial & Professional Services
FTMR,Energy,Oil & Gas Exploration & Production 
NUUU,Consumer Staples,Household & Personal Products
OUT,Real Estate,Real Estate
TWOU,Information Technology,Hotels Leisure & Consumer Services
BRG,Real Estate,Real Estate
ATNM,Health Care,Biotechnology Life Sciences
WATT,Industrials,Electrical Equipment
AAGRY,Consumer Staples,Food Products
KOGMF,Materials,Precious Metals Gold Mining 
MGNI,Communication Services,Media
BLPG,Industrials,Commercial & Professional Services
TEDU,Consumer Discretionary,Hotels Leisure & Consumer Services
SCYX,Health Care,Pharmaceuticals
FIVN,Information Technology,Software
CPLG,Real Estate,Real Estate
ADMS,Health Care,Biotechnology Life Sciences
FPI,Real Estate,Real Estate
ALLY,Financials,Diversified Financials
ALDX,Health Care,Biotechnology Life Sciences
DARE,Health Care,Health Crare Equipment & Technology
PAHC,Health Care,Pharmaceuticals
ENBL,Energy,Coal & Consumable Fuels 
CIO,Real Estate,Real Estate
PAYC,Information Technology,Software
EVARF,Health Care,Health Crare Equipment & Technology
CESTY,Real Estate,Real Estate
MOXC,Consumer Discretionary,Internet & Catalog Retail
QTNT,Health Care,Health Crare Equipment & Technology
MC,Financials,Diversified Financials
GLRI,Energy,Oil & Gas Equipment & Services 
WB,Information Technology,Internet Software & IT Services
LEJU,Consumer Discretionary,Internet & Catalog Retail
SABR,Information Technology,Internet Software & IT Services
SPWH,Consumer Discretionary,Specialty Stores
RBLAY,Real Estate,Real Estate
FSK,Financials,Diversified Financials
EAST,Consumer Staples,Beverages Tobacco
GBHPF,Consumer Staples,Food Products
GALKF,Materials,Precious Metals Gold Mining 
EXPI,Real Estate,Real Estate
KOTMY,Consumer Discretionary,Auotomobiles & Components
PRRE,Real Estate,Real Estate
AXLX,Financials,Diversified Financials
BPOSY,Industrials,Transportation Air Freight & Marine
BOSSY,Consumer Discretionary,Leisure Products Textiles Apparel & Luxury
STBFY,Consumer Staples,Beverages Tobacco
DIISY,Financials,Insurance Brokers & Reinsurance
ATONY,Energy,Oil & Gas Equipment & Services 
ALGGY,Industrials,Industrial Conglomerates
LTGHY,Health Care,Health Care Providers (non-HMO)
MONOY,Industrials,Trading Companies & Distributors
TSYHY,Information Technology,Internet Software & IT Services
SLM,Financials,Diversified Financials
BGSF,Industrials,Commercial & Professional Services
ARES,Financials,Diversified Financials
EXEO,Consumer Discretionary,Household Durables (non-Homebuilding)
CLCS,Health Care,Biotechnology Life Sciences
GLOP,Energy,Coal & Consumable Fuels 
RDUS,Health Care,Biotechnology Life Sciences
CMCM,Information Technology,Software
BIVI,Health Care,Biotechnology Life Sciences
PBFX,Energy,Coal & Consumable Fuels 
LPG,Energy,Coal & Consumable Fuels 
TOUR,Consumer Discretionary,Hotels Leisure & Consumer Services
OXBR,Financials,Insurance Brokers & Reinsurance
ZEN,Information Technology,Software
SFBS,Financials,Banks
LBTD,Communication Services,Media
WWIO,Communication Services,Media
PTJSY,Industrials,Transportation Air Freight & Marine
TRUE,Information Technology,Internet Software & IT Services
TOWTF,Health Care,Pharmaceuticals
TBPH,Health Care,Pharmaceuticals
DPSMD,Information Technology,Software
ACSAY,Industrials,Construction & Engineering
AGRX,Health Care,Pharmaceuticals
JD,Consumer Discretionary,Internet & Catalog Retail
HRTG,Financials,Insurance Brokers & Reinsurance
FFWM,Financials,Banks
